Seconds elapsed,Metres from animatedLocation to lastReceivedLocation
0.0,0.0
0.039,0.0
0.066,0.0
0.091,0.0
0.1,0.0
0.116,0.0
0.144,0.0
0.149,0.0
0.166,0.0
0.192,0.0
0.199,0.0
0.216,0.0
0.239,0.0
0.27,0.0
0.318,0.0
0.333,0.0
0.359,0.0
0.366,0.0
0.383,0.0
0.4,0.0
0.427,0.0
0.433,0.0
0.449,0.0
0.465,0.0
0.497,0.0
0.499,0.0
0.531,0.0
0.532,0.0
0.55,0.0
0.6,0.0
0.616,0.0
0.633,0.0
0.65,0.0
0.674,0.0
0.683,0.0
0.699,0.0
0.716,0.0
0.74,0.0
0.749,0.0
0.766,0.0
0.783,0.0
0.808,0.0
0.816,0.0
0.833,0.0
0.85,0.0
0.875,0.0
0.883,0.0
0.9,0.0
0.916,0.0
0.938,0.0
0.954,0.0
0.966,0.0
0.983,0.0
1.029,0.0
1.05,0.0
1.066,0.0
1.083,0.0
1.1,0.0
1.116,0.0
1.133,0.0
1.15,0.0
1.166,0.0
1.191,0.0
1.2,0.0
1.242,0.0
1.265,0.0
1.282,0.0
1.3,0.0
1.343,0.0
1.376,0.0
1.383,0.0
1.414,0.0
1.415,0.0
1.463,0.0
1.492,0.0
1.499,0.0
1.533,0.0
1.55,0.0
1.577,0.0
1.589,0.0
1.616,0.0
1.633,0.0
1.653,0.0
1.679,0.0
1.682,0.0
1.7,0.0
1.716,0.0
1.732,0.0
1.75,0.0
1.777,0.0
1.783,0.0
1.8,0.0
1.827,0.0
1.832,0.0
1.85,0.0
1.88,0.0
1.882,0.0
1.899,0.0
1.916,0.0
1.943,0.0
1.949,0.0
1.976,0.0
1.983,0.0
2.0,0.0
2.024,0.0
2.032,0.0
2.061,0.0
2.066,0.0
2.083,0.0
2.099,0.0
2.116,0.0
2.133,0.0
2.15,0.0
2.166,0.0
2.183,0.0
2.2,0.0
2.216,0.0
2.233,0.0
2.249,0.0
2.266,0.0
2.283,0.0
2.3,0.0
2.316,0.0
2.333,0.0
2.35,0.0
2.366,0.0
2.383,0.0
2.4,0.0
2.416,0.0
2.433,0.0
2.45,0.0
2.466,0.0
2.483,0.0
2.5,0.0
2.516,0.0
2.533,0.0
2.55,0.0
2.566,0.0
2.583,0.0
2.6,0.0
2.616,0.0
2.633,0.0
2.65,0.0
2.666,0.0
2.683,0.0
2.7,0.0
2.716,0.0
2.733,0.0
2.75,0.0
2.766,0.0
2.782,0.0
2.8,0.0
2.816,0.0
2.833,0.0
2.85,0.0
2.866,0.0
2.883,0.0
2.9,0.0
2.916,0.0
2.933,0.0
2.95,0.0
2.966,0.0
2.983,0.0
3.0,0.0
3.022,0.0
3.033,0.0
3.049,0.0
3.066,0.0
3.083,0.0
3.099,0.0
3.13,0.0
3.132,0.0
3.15,0.0
3.166,0.0
3.183,0.0
3.2,0.0
3.216,0.0
3.233,0.0
3.25,0.0
